post_date,verified,resultid,submittingmemberid,submittingplayerid,winner1id,win1_utr,win1_verutr,loser1id,los1_utr,los1_verutr,score,gamesplayed,finalized
2019-04-23,myutr,15530404,38688,362058,67851,8.93,8.89,362058,9.18,9.22,"6-7, 7-6, 7-6",39,1
2019-04-25,myutr,15589559,52343,122164,122164,,6.82,1191506,10.0,0.0,"7-6, 6-7, 7-6",39,1
2019-04-23,myutr,15530491,89403,841361,841363,4.58,4.59,841361,4.57,4.57,"7-6, 4-6, 7-6",36,1
2019-04-24,myutr,15566628,77756,664272,664272,,3.67,555018,,2.57,"6-7, 7-6, 6-3",35,1
2019-04-22,myutr,15530255,20175,191755,153514,7.32,7.43,191755,5.81,5.71,"7-6, 3-6, 7-6",35,1
2019-04-22,myutr,15530132,127050,279980,279980,7.91,8.12,750231,8.08,8.17,"4-6, 7-5, 7-6",35,1
2019-04-23,myutr,15537146,55946,126655,126655,,10.54,101885,,11.07,"6-7, 7-5, 6-4",35,1
2019-04-23,myutr,15537625,79812,190936,190936,7.79,7.8,298355,8.39,8.07,"4-6, 7-5, 7-6",35,1
2019-04-24,myutr,15567958,68928,734549,734549,,12.02,773056,,10.26,"6-7, 7-6, 6-2",34,1
2019-04-23,myutr,15537755,28485,229800,229800,,5.59,293152,,5.9,"7-6, 2-6, 7-6",34,1
2019-04-22,myutr,15529908,192325,1356979,1356979,7.0,0.0,1356982,,,"2-6, 7-6, 7-6",34,0
2019-04-24,myutr,15585624,195221,1359950,119597,,9.97,1359950,11.0,0.0,"6-3, 5-7, 7-6",34,1
2019-04-23,myutr,15533371,156389,275874,275874,10.28,10.27,210411,12.55,12.89,"3-6, 7-6, 7-5",34,1
2019-04-26,myutr,15604429,195874,1361353,1361353,5.0,0.0,916798,,1.73,"6-4, 4-6, 7-6",33,1
2019-04-22,myutr,15530236,194469,1357025,1357025,10.25,0.0,1357024,9.17,0.0,"7-6, 4-6, 6-4",33,1
2019-04-22,myutr,15530120,163077,1254031,800654,10.67,10.68,1254031,9.06,8.82,"6-2, 5-7, 7-6",33,1
2019-04-22,myutr,15530300,82289,217897,217897,6.32,6.31,241118,7.07,7.43,"7-5, 5-7, 6-3",33,1
2019-04-25,myutr,15585959,195417,1360100,1309813,6.0,0.0,1360100,6.0,0.0,"6-4, 6-7, 6-3",32,1
2019-04-25,myutr,15585935,112811,920979,920979,6.0,5.49,573261,,5.87,"4-6, 6-4, 7-5",32,1
2019-04-22,myutr,15530076,95934,1259937,1259937,5.71,5.75,110537,6.86,7.03,"2-6, 7-5, 7-5",32,1
2019-04-23,myutr,15531830,92180,1017546,1279926,7.0,0.0,1017546,6.0,5.87,"3-6, 6-4, 7-6",32,0
2019-04-22,myutr,15530206,70733,1290676,1286593,7.82,7.99,1290676,6.79,6.86,"1-6, 7-6, 7-5",32,1
2019-04-24,myutr,15541548,24819,247620,412060,,7.44,247620,,3.36,"6-4, 5-7, 6-4",32,1
2019-04-24,myutr,15541634,194924,1357686,1352374,7.0,0.0,1357686,10.0,0.0,"4-6, 7-5, 6-4",32,1
2019-04-26,myutr,15598259,107434,900222,900222,2.0,0.0,1013653,,11.68,"6-1, 5-7, 7-6",32,1
2019-04-24,myutr,15541628,88715,839834,839834,5.5,0.0,750652,,,"6-4, 2-6, 7-6",31,1
2019-04-22,myutr,15530185,102380,362581,362581,6.67,6.64,197747,7.85,7.86,"7-6, 0-6, 7-5",31,1
2019-04-26,myutr,15598211,169980,635064,635064,,4.88,854021,9.0,5.81,"4-6, 6-2, 7-6",31,1
2019-04-25,myutr,15585945,69583,129067,129067,,7.34,110988,,9.93,"4-6, 7-5, 6-3",31,1
2019-04-24,myutr,15568181,23968,1309836,273392,,10.45,1309836,,10.41,"6-4, 5-7, 6-3",31,1
2019-04-24,myutr,15585715,135789,996344,996344,8.0,8.19,1199766,8.0,0.0,"6-3, 3-6, 7-6",31,1
2019-04-23,myutr,15537700,28748,190134,190134,,9.89,77470,,9.59,"7-6, 4-6, 6-2",31,1
2019-04-23,myutr,15535149,36356,391273,391273,,5.24,886447,,4.12,"6-7, 6-2, 6-4",31,1
2019-04-22,myutr,15530205,102380,362581,245198,8.42,8.46,362581,6.67,6.64,"6-2, 4-6, 7-6",31,1
2019-04-24,myutr,15585722,162606,265143,265143,,6.67,1253558,,5.37,"6-1, 5-7, 7-5",31,0
2019-04-24,myutr,15585533,156640,950901,950901,5.0,4.42,887913,,4.01,"4-6, 6-4, 6-4",30,0
2019-02-28,myutr,14857935,142190,1024037,1075419,4.32,0.0,1024037,4.15,0.0,"6-4, 4-6, 6-4",30,1
2019-04-25,myutr,15585892,97272,194756,194756,7.94,7.94,1345621,8.0,8.67,"6-3, 5-7, 6-3",30,1
2019-04-22,myutr,15530228,62370,72607,63543,9.93,10.12,72607,9.22,9.5,"3-6, 6-3, 7-5",30,1
2019-04-25,myutr,15597072,186160,844208,844208,,4.17,176163,,7.96,"6-3, 6-7, 6-2",30,1
2019-04-26,myutr,15598284,88128,895230,895230,,2.25,1250154,,3.89,"6-3, 3-6, 7-5",30,1
2019-04-25,myutr,15589558,75201,142186,142186,,5.25,875472,,3.63,"6-3, 3-6, 7-5",30,1
2019-04-24,myutr,15585799,178707,1310020,1310020,6.0,0.0,200228,,4.94,"6-2, 3-6, 7-6",30,1
2019-04-25,myutr,15585905,112811,920979,920979,6.0,5.49,909632,,4.18,"4-6, 6-2, 7-5",30,1
2019-04-26,myutr,15598286,88128,895230,1250154,,3.89,895230,,2.25,"6-4, 4-6, 6-4",30,1
2019-04-22,myutr,15530219,153345,1191378,1191378,16.0,0.0,1191382,14.81,0.0,"6-4, 6-7, 6-1",30,1
2019-04-24,myutr,15552149,62370,72607,748335,,10.3,72607,9.22,9.5,"7-5, 2-6, 6-4",30,1
2019-04-23,myutr,15535161,188141,1331148,910887,1.38,1.47,1331148,2.0,0.0,"3-6, 6-4, 7-4",30,1
2019-04-24,myutr,15568159,131535,980226,1358615,,,980226,3.0,0.0,"2-6, 7-5, 6-4",30,0
2019-04-23,myutr,15533152,42672,117599,117599,9.71,9.98,130178,8.71,9.01,"6-2, 5-7, 6-3",29,1
2019-04-24,myutr,15585620,117987,935559,935559,8.0,8.3,795770,,7.9,"3-6, 6-2, 7-5",29,1
2019-04-22,myutr,15530267,20175,191755,153514,7.32,7.43,191755,5.81,5.71,"1-6, 7-6, 6-3",29,1
2019-04-22,myutr,15530092,95114,1309852,669151,10.87,10.97,1309852,9.25,9.26,"6-2, 3-6, 7-5",29,1
2019-04-24,myutr,15552130,194506,1357045,1357040,,,1357045,5.0,0.0,"7-5, 4-6, 6-1",29,0
2019-04-24,myutr,15568192,194503,1357040,1357040,,,1357045,5.0,0.0,"7-5, 4-6, 6-1",29,1
2019-04-24,myutr,15552152,62370,72607,72607,9.22,9.5,893597,,8.49,"3-6, 6-1, 7-6",29,1
2019-04-22,myutr,15530168,153345,1191378,1191378,16.0,0.0,1191382,14.81,0.0,"7-6, 1-6, 6-3",29,1
2019-04-23,myutr,15530450,112906,921190,921190,5.32,5.29,850824,4.6,4.44,"6-1, 4-6, 7-5",29,1
2019-04-25,myutr,15585907,112811,920979,920979,6.0,5.49,909635,,4.69,"6-2, 4-6, 7-4",29,1
2019-04-23,myutr,15537678,33051,94302,94302,,8.42,151670,,8.38,"6-7, 6-1, 6-2",28,1
2019-04-23,myutr,15537319,194761,1357540,1229302,5.66,5.32,1357540,16.0,0.0,"6-2, 5-7, 6-2",28,1
2019-04-22,myutr,15530354,157217,916446,916446,6.0,4.92,661869,,5.54,"3-6, 6-3, 6-4",28,0
2019-04-24,myutr,15563654,88975,276180,1075607,,11.09,276180,9.64,9.86,"6-3, 6-7, 6-0",28,0
2019-04-22,myutr,15530198,70733,1290676,1290676,6.79,6.86,249374,,7.68,"2-6, 6-2, 7-5",28,0
2019-04-23,myutr,15535137,18741,837064,837064,,6.75,412882,6.75,6.65,"3-6, 6-3, 6-4",28,1
2019-04-24,myutr,15566472,118922,937062,937062,6.0,0.0,1358471,,,"6-7, 6-2, 6-1",28,0
2019-04-22,myutr,15530210,62991,162679,133506,8.5,8.7,162679,7.28,7.27,"6-3, 4-6, 6-3",28,1
2019-04-23,myutr,15535162,37567,316064,316064,,7.69,1349014,,7.08,"6-4, 2-6, 6-3",27,0
2019-04-23,myutr,15531348,137932,952160,1330766,6.74,6.62,952160,6.32,6.39,"6-3, 4-6, 6-2",27,1
2019-04-24,myutr,15585827,168603,1304117,1304117,,5.17,944817,,4.71,"6-1, 4-6, 6-4",27,1
2019-04-24,myutr,15541665,163748,1240970,489182,,0.0,1240970,,4.51,"6-1, 2-6, 7-5",27,0
2019-04-26,myutr,15598343,195803,1360930,1360930,5.0,0.0,233519,,8.47,"9-0, 8-9, 1-0",27,1
2019-04-24,myutr,15585776,9501,70558,66890,,10.19,70558,,10.09,"6-3, 3-6, 6-3",27,1
2019-04-24,myutr,15566672,84689,62241,62241,,8.76,974671,8.5,7.8,"6-4, 4-6, 6-1",27,1
2019-04-22,myutr,15530214,62991,162679,162679,7.28,7.27,119911,6.54,6.52,"6-2, 4-6, 6-3",27,1
2019-04-22,myutr,15530163,163077,1254031,1155142,11.11,11.21,1254031,9.06,8.82,"6-4, 3-6, 6-2",27,1
2019-04-22,myutr,15530109,27942,118074,118074,10.31,10.29,85675,10.67,10.7,"6-7, 7-6, 1-0",27,1
2019-04-24,myutr,15541644,138969,399665,399665,,6.63,289848,,5.7,"4-6, 6-2, 6-3",27,1
2019-04-23,myutr,15533439,175213,219206,219206,,9.33,203213,,11.04,"6-2, 3-6, 6-4",27,1
2019-04-23,myutr,15537035,97370,970544,970544,7.0,5.46,1313397,1.0,6.07,"6-7, 7-5, 1-0",26,1
2019-04-22,myutr,15530123,188141,1331148,1331148,2.0,0.0,1357690,3.0,0.0,"3-6, 6-4, 6-1",26,1
2019-04-23,myutr,15537751,135789,996344,996344,8.0,8.19,1198169,7.0,0.0,"7-5, 6-4, 3-1",26,1
2019-04-24,myutr,15566673,84689,62241,282638,,9.39,62241,,8.76,"6-2, 3-6, 6-3",26,1
2019-04-22,myutr,15530144,14314,89147,89147,10.79,10.94,1290692,10.93,11.13,"1-6, 7-5, 6-1",26,1
2019-04-24,myutr,15585731,146043,856755,856755,10.0,3.38,815736,5.0,4.21,"6-4, 3-6, 6-1",26,1
2019-04-24,myutr,15563661,25085,158294,158294,,12.49,734549,,12.02,"6-1, 6-7, 6-0",26,1
2019-04-23,myutr,15536869,16321,219768,219768,,12.3,83169,,12.59,"7-6, 7-6",26,1
2019-04-24,myutr,15564735,163540,356918,355773,,0.0,356918,8.0,0.0,"6-4, 2-6, 6-2",26,0
2019-04-24,myutr,15585732,138017,396527,270017,,11.01,396527,11.0,10.45,"3-6, 6-3, 6-2",26,0
2019-04-22,myutr,15529895,66916,714603,714603,9.1,9.45,793483,9.59,10.03,"6-1, 0-6, 7-6",26,1
2019-04-24,myutr,15541681,84134,140465,132974,,6.49,140465,,5.67,"7-6, 7-6",26,1
2019-04-25,myutr,15586225,72317,192971,134541,,9.16,192971,,7.58,"6-3, 2-6, 6-3",26,1
2019-04-26,myutr,15604321,93883,852379,852379,6.0,5.55,880542,,0.0,"6-1, 5-7, 6-1",26,0
2019-04-24,myutr,15566676,105288,893606,816924,,0.0,893606,6.0,5.38,"7-6, 5-7, 1-0",26,0
2019-04-25,myutr,15589359,123481,827356,827356,5.0,4.73,909547,6.5,5.19,"6-7, 7-5, 1-0",26,1
2019-04-24,myutr,15563659,140216,1017062,1017062,9.0,6.17,938635,9.0,8.3,"7-6, 7-6",26,1
2019-04-26,myutr,15603925,93883,852379,852379,6.0,5.55,880542,,0.0,"3-6, 6-3, 6-2",26,0
2019-04-24,myutr,15563628,63817,237795,251417,9.0,7.97,237795,,8.77,"5-7, 7-6, 1-0",26,1
2019-04-26,myutr,15598265,67522,191250,191250,9.39,9.35,123488,,8.84,"6-3, 4-6, 6-1",26,1
2019-04-22,myutr,15529900,144731,1244288,1244288,1.09,0.0,1042131,1.44,0.0,"5-7, 7-5, 1-0",25,1
